sample,var,N,Mean,SD,P10,P25,Median,P75,P90
All,growth,29301,.17078429,.37515742,-.059791751,.013253175,.091192,.21146408,.42949763
NonSOE,growth,18917,.19477685,.40230975,-.058278129,.019389348,.10392052,.24181284,.49634171
SOE,growth,10384,.12707596,.31518006,-.062469352,.0030037016,.072584674,.16535984,.30741701
All,lev,29301,.42581671,.20233725,.15736622,.26440147,.41951278,.5757913,.70150059
NonSOE,lev,18917,.38477528,.1934544,.13585241,.22794364,.37395254,.52253944,.64674371
SOE,lev,10384,.50058377,.1966975,.22724776,.35206473,.5093286,.65417445,.75632119
All,ndts,29301,.0247619,.015452271,.0072300653,.013259392,.022237703,.033421714,.045431297
NonSOE,ndts,18917,.023923859,.014584679,.0075326087,.013270566,.021545274,.031885404,.043121055
SOE,ndts,10384,.026288599,.016812541,.0065130997,.01321179,.023824835,.036557127,.049312696
All,npr,29301,.037436772,.061902247,-.0068313503,.013834827,.036713127,.066558331,.10205214
NonSOE,npr,18917,.040768147,.067155182,-.0088436734,.016519541,.04233101,.073061652,.10886758
SOE,npr,10384,.031367853,.050399732,-.0041587963,.010401469,.02878082,.05333101,.085638605
All,size,29301,22.270208,1.3333709,20.769987,21.333164,22.071209,23.004673,24.060389
NonSOE,size,18917,21.907845,1.1056417,20.64712,21.136633,21.778231,22.538704,23.322348
SOE,size,10384,22.930346,1.4542689,21.221136,21.88847,22.774281,23.792873,24.848566
All,tang,29301,.21559936,.15518661,.038459066,.096308626,.1855177,.3032369,.43531516
NonSOE,tang,18917,.19674569,.12952991,.04255905,.097314224,.1769224,.27452826,.37612286
SOE,tang,10384,.24994591,.18858948,.031641308,.094212167,.20875686,.37860668,.54111987
